SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1625C - COCONUT MILK POWDER 20-25G,1625 - COCONUT MILK,STAPLE NEED,1.23,1.61,0.3089,44.0,43.0,-0.0227,1.09,1.28,0.1743,15824.0,15281.0,-0.0343,17191.0,19517.0,0.1353,81.0,101.0,0.2469
1711A - MSG ( MONO SODIUM GLUTAMATE ) 50-150G,1711 - MSG ( MONO SODIUM GLUTAMATE ),STAPLE NEED,1.16,1.12,-0.0345,70.5,65.67,-0.0685,1.14,1.19,0.0439,6668.0,6636.0,-0.0048,7582.0,7922.0,0.0448,124.0,165.0,0.3306
1711B - MSG ( MONO SODIUM GLUTAMATE ) 250-500G,1711 - MSG ( MONO SODIUM GLUTAMATE ),STAPLE NEED,1.07,1.14,0.0654,21.0,19.33,-0.0795,1.17,1.26,0.0769,17050.0,18202.0,0.0676,19892.0,22950.0,0.1537,36.0,46.0,0.2778
1712A - SALT,1712 - SALT,STAPLE NEED,1.14,1.14,0.0,114.5,108.67,-0.0509,1.08,1.22,0.1296,11230.0,11254.0,0.0021,12130.0,13740.0,0.1327,212.0,267.0,0.2594
1713A - SPICES,1713 - SPICES,STAPLE NEED,1.22,1.28,0.0492,43.5,48.67,0.1189,1.1,1.13,0.0273,10690.0,15116.0,0.414,11772.0,17109.0,0.4534,79.0,129.0,0.6329
1714A - STOCK SOUP SACHET,1714 - STOCK SOUP,STAPLE NEED,1.28,1.32,0.0313,151.5,140.0,-0.0759,1.27,1.41,0.1102,8320.0,9048.0,0.0875,10593.0,12753.0,0.2039,238.0,298.0,0.2521
1714B - STOCK SOUP 100-250G,1714 - STOCK SOUP,STAPLE NEED,1.29,1.22,-0.0543,193.5,192.33,-0.006,1.24,1.33,0.0726,13859.0,12556.0,-0.094,17135.0,16693.0,-0.0258,313.0,434.0,0.3866
1715A - FRIED MEAL MAKER,1715 - MEAL MAKER,STAPLE NEED,1.84,1.81,-0.0163,82.5,64.33,-0.2202,1.17,1.16,-0.0085,5463.0,6460.0,0.1825,6393.0,7511.0,0.1749,141.0,166.0,0.1773
1715B - SOUP MEAL MAKER POWDER,1715 - MEAL MAKER,STAPLE NEED,1.73,2.03,0.1734,29.5,21.67,-0.2654,1.05,1.18,0.1238,6227.0,7012.0,0.1261,6561.0,8287.0,0.2631,56.0,55.0,-0.0179
1715C - SOUP MEAL MAKER PASTE,1715 - MEAL MAKER,STAPLE NEED,1.41,1.54,0.0922,100.5,57.67,-0.4262,1.1,1.13,0.0273,12671.0,13700.0,0.0812,13917.0,15491.0,0.1131,183.0,153.0,-0.1639
